Age,Sex,Race,Marital status?,Education,Employement,Incomes,How many books did you read during last 12months?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,"Last book you read, you…",Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?,Reading Speed
61,Female,White,Divorced,Post-graduate training/professional school after college,Employed part-time,"$30,000 to under $40,000",20,Yes,Yes,Yes,Purchased the book,Yes,No,301
60,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,289
60,Male,White,Married,"Some college, no 4-year degree",Retired,"$100,000 to under $150,000",20,Yes,No,No,Purchased the book,Yes,No,283
60,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$100,000 to under $150,000",20,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes,284
60,Male,White,Married,High school graduate,Retired,"$50,000 to under $75,000",20,Yes,No,No,Purchased the book,Yes,Yes,231
60,Male,White,Divorced,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,306
60,Female,White,Married,High school graduate,Not employed for pay,Refused,20,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes,234
59,Female,White,Married,College graduate,Not employed for pay,"$100,000 to under $150,000",20,No,No,Yes,Purchased the book,Yes,No,276
59,Female,White,Married,College graduate,Disabled,"$40,000 to under $50,000",20,Yes,No,No,Got the book some other way,Yes,Yes,289
58,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,292
57,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Purchased the book,Yes,Yes,300
56,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Got the book some other way,Yes,Yes,297
56,Female,White,Married,College graduate,Employed full-time,"$50,000 to under $75,000",20,Yes,No,No,Purchased the book,Yes,Yes,278
56,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,292
55,Female,White,Married,College graduate,Employed full-time,Refused,20,Yes,Yes,No,Borrowed the book from a library,No,Yes,278
55,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",20,No,Yes,No,Purchased the book,No,No,279
55,Female,White,Divorced,High school graduate,Employed full-time,"Less than $10,000",20,Yes,No,No,Purchased the book,Yes,No,232
55,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,281
54,Male,White,Living with a partner,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",20,Yes,No,No,Got the book some other way,No,No,278
54,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Purchased the book,Yes,Yes,283
54,Male,White,Divorced,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,No,Purchased the book,Yes,Yes,286
54,Male,White,Married,High school graduate,Employed part-time,"$30,000 to under $40,000",20,Yes,No,Yes,Got the book some other way,Yes,No,232
54,Male,White,Never been married,Post-graduate training/professional school after college,Retired,"$40,000 to under $50,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,302
53,Female,White,Divorced,High school graduate,Employed part-time,"$10,000 to under $20,000",20,No,No,Yes,Purchased the book,Yes,No,229
53,Female,White,Married,College graduate,Not employed for pay,Refused,20,Yes,Yes,Yes,Purchased the book,No,Yes,282
52,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",20,Yes,No,No,Purchased the book,Yes,Yes,290
52,Female,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$20,000 to under $30,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,298
50,Male,White,Never been married,College graduate,Employed full-time,"9$100,000 to under $150,000",20,Yes,Yes,Yes,Purchased the book,No,Yes,288
49,Female,White,Living with a partner,High school graduate,Employed full-time,"$30,000 to under $40,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,226
48,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",20,Yes,Yes,No,Purchased the book,Yes,Yes,301
48,Female,White,Living with a partner,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,291
48,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",20,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes,305
48,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Got the book some other way,No,Yes,308
47,Female,White,Married,Post-graduate training/professional school after college,Employed part-time,"$100,000 to under $150,000",20,Yes,Yes,No,Borrowed the book from a library,Yes,Yes,295
47,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,No,Yes,281
45,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",20,Yes,Yes,Yes,Purchased the book,No,Yes,302
44,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,315
44,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,315
44,Male,White,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",20,Yes,Yes,Yes,Got the book some other way,Yes,Yes,286
44,Male,White,Married,College graduate,Not employed for pay,"$50,000 to under $75,000",20,Yes,No,No,Got the book some other way,No,No,290
43,Female,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,Yes,Purchased the book,No,Yes,287
43,Female,White,Never been married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,No,Yes,308
42,Female,White,Married,High school graduate,Employed full-time,"$40,000 to under $50,000",20,No,Yes,No,Borrowed the book from a library,Yes,No,226
42,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,Yes,No,Borrowed the book from a library,No,No,291
42,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,Refused,20,Yes,No,No,Purchased the book,Yes,No,306
42,Female,White,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",20,Yes,No,No,Borrowed the book from a friend or family member,No,No,232
40,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,308
40,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",20,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes,317
40,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,Yes,No,Purchased the book,Yes,Yes,287
39,Female,White,Married,Post-graduate training/professional school after college,Not employed for pay,Refused,20,Yes,No,No,Purchased the book,No,Yes,315
39,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,No,Purchased the book,Yes,Yes,293
38,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$30,000 to under $40,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,288
38,Female,White,Living with a partner,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",20,Yes,No,Yes,Purchased the book,Yes,No,303
38,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",20,Yes,Yes,No,Purchased the book,Yes,No,288
37,Female,White,Married,College graduate,Not employed for pay,"$50,000 to under $75,000",20,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No,287
35,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,Yes,No,8,Yes,No,288
34,Male,White,Never been married,"Some college, no 4-year degree",Student,"$50,000 to under $75,000",20,Yes,No,Yes,Purchased the book,Yes,No,285
34,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",20,Yes,No,Yes,Got the book some other way,Yes,No,284
33,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$30,000 to under $40,000",20,Yes,No,No,Got the book some other way,Yes,Yes,355
33,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",20,Yes,Yes,Yes,Purchased the book,Yes,Yes,293
33,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",20,Yes,Yes,Yes,Purchased the book,Yes,Yes,349
33,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Purchased the book,No,Yes,280
33,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"$50,000 to under $75,000",20,Yes,No,Yes,Purchased the book,No,Yes,282
33,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,No,345
32,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,Yes,No,Got the book some other way,Yes,Yes,343
32,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",20,Yes,No,Yes,Purchased the book,Yes,No,286
31,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",20,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,No,337
31,Female,White,Married,"Some college, no 4-year degree",Other,"$75,000 to under $100,000",20,No,No,Yes,Purchased the book,Yes,Yes,285
30,Male,White,Never been married,College graduate,Employed full-time,"$100,000 to under $150,000",20,No,No,No,Purchased the book,No,No,288
29,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,Refused,20,Yes,No,No,Purchased the book,Yes,Yes,342
26,Female,White,Married,College graduate,Employed full-time,"$40,000 to under $50,000",20,Yes,No,Yes,Purchased the book,No,No,323
26,Female,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,Yes,Purchased the book,No,Yes,319
26,Female,White,Married,High school graduate,Employed full-time,"$30,000 to under $40,000",20,Yes,No,Yes,Got the book some other way,Yes,No,219
26,Male,White,Living with a partner,High school graduate,Not employed for pay,"$30,000 to under $40,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,238
25,Male,White,Never been married,College graduate,Employed full-time,"$50,000 to under $75,000",20,Yes,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes,324
24,Female,White,Married,College graduate,Not employed for pay,"$40,000 to under $50,000",20,Yes,No,No,Purchased the book,No,Yes,312
24,Male,White,Never been married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Got the book some other way,Yes,Yes,313
24,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",20,Yes,Yes,No,Purchased the book,No,No,312
24,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"9$100,000 to under $150,000",20,Yes,No,No,Purchased the book,No,Yes,316
23,Male,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$10,000 to under $20,000",20,Yes,No,No,Purchased the book,Yes,No,317
23,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,No,No,314
23,Female,White,Never been married,Post-graduate training/professional school after college,Student,"$40,000 to under $50,000",20,Yes,Yes,Yes,Borrowed the book from a friend or family member,No,No,347
22,Female,White,Single,Post-graduate training/professional school after college,Employed part-time,"$75,000 to under $100,000",20,Yes,No,No,Purchased the book,No,No,340
21,Female,White,Single,"Some college, no 4-year degree",Not employed for pay,"9$100,000 to under $150,000",20,Yes,No,No,Purchased the book,No,Yes,283
21,Male,White,Never been married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,Yes,Purchased the book,Yes,Yes,284
20,Female,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",20,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes,296
19,Female,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$30,000 to under $40,000",20,Yes,No,Yes,Borrowed the book from a library,No,No,298
18,Female,White,Never been married,High school graduate,Employed full-time,"$10,000 to under $20,000",20,Yes,No,No,Purchased the book,No,No,284
17,Female,White,Never been married,High school incomplete,Not employed for pay,"$10,000 to under $20,000",20,Yes,No,No,Borrowed the book from a library,No,No,200
17,Male,White,Never been married,High school incomplete,Not employed for pay,"$30,000 to under $40,000",20,Yes,No,Yes,Borrowed the book from a library,No,Yes,203
17,Female,White,Never been married,High school incomplete,Not employed for pay,"$100,000 to under $150,000",20,Yes,No,No,Borrowed the book from a friend or family member,No,Yes,192
16,Male,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",20,Yes,No,No,Borrowed the book from a library,Yes,No,205
16,Female,White,Never been married,High school incomplete,Not employed for pay,"$50,000 to under $75,000",20,Yes,No,Yes,Purchased the book,Yes,Don’t know,199
16,Female,White,Never been married,High school incomplete,Student,"$20,000 to under $30,000",20,Yes,No,No,Borrowed the book from a library,Yes,Yes,196
16,Male,White,Never been married,High school incomplete,Employed part-time,"$20,000 to under $30,000",20,Yes,No,No,Purchased the book,No,No,206
16,Female,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",20,Yes,No,No,Purchased the book,No,No,204
16,Male,White,Never been married,High school incomplete,Employed part-time,"$10,000 to under $20,000",20,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No,191
16,Female,White,Never been married,High school incomplete,Not employed for pay,"$50,000 to under $75,000",20,Yes,Yes,No,Purchased the book,No,Yes,199
16,Male,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",20,Yes,No,Yes,Got the book some other way,Yes,Yes,202
18,Female,White,Never been married,High school graduate,Employed part-time,"9$100,000 to under $150,000",19,Yes,No,No,Purchased the book,Yes,No,286
76,Male,White,Married,"Some college, no 4-year degree",Employed part-time,"$75,000 to under $100,000",18,Yes,Yes,Yes,Purchased the book,Yes,No,272
72,Female,White,Widowed,College graduate,Retired,"$30,000 to under $40,000",18,Yes,Yes,No,Borrowed the book from a library,Yes,Yes,278
68,Female,White,Married,Post-graduate training/professional school after college,Not employed for pay,"$100,000 to under $150,000",18,Yes,No,No,Purchased the book,Yes,Yes,297
64,Female,White,Married,Post-graduate training/professional school after college,Retired,"$40,000 to under $50,000",18,Yes,Yes,Yes,Borrowed the book from a library,No,Yes,304
61,Female,White,Married,College graduate,Employed part-time,"$100,000 to under $150,000",18,Yes,No,No,Purchased the book,Yes,Yes,286
53,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",18,No,Yes,Yes,Purchased the book,Yes,No,316
53,Female,White,Never been married,"Technical, trade or vocational school AFTER high school",Disabled,"Less than $10,000",18,Yes,No,No,Purchased the book,No,No,261
51,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",18,Yes,Yes,Yes,Purchased the book,Yes,Yes,291
50,Male,White,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",18,Yes,No,Yes,Purchased the book,Yes,Yes,232
31,Female,White,Married,High school graduate,Not employed for pay,"Less than $10,000",18,Yes,No,No,Purchased the book,No,Yes,240
59,Male,Refused,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",17,Yes,No,No,Purchased the book,Don’t know,Don’t know,281
60,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",17,Yes,Yes,No,Borrowed the book from a friend or family member,No,No,283
43,Female,White,Widowed,College graduate,Employed full-time,"$40,000 to under $50,000",17,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes,284
30,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",17,Yes,No,Yes,Purchased the book,Yes,No,350
25,Male,White,Never been married,College graduate,Employed full-time,"$50,000 to under $75,000",17,Yes,No,Yes,Got the book some other way,No,Yes,315
17,Male,White,Never been married,High school graduate,Not employed for pay,"$20,000 to under $30,000",17,Yes,No,Yes,Borrowed the book from a library,No,No,279
35,Male,Asian or Pacific Islander,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",16,Yes,No,Yes,Purchased the book,No,No,340
50,Male,Black or African-American,Single,High school graduate,Not employed for pay,"Less than $10,000",16,Yes,No,No,Purchased the book,Yes,Yes,230
79,Female,White,Divorced,Post-graduate training/professional school after college,Retired,"$50,000 to under $75,000",16,Yes,No,No,Purchased the book,Yes,Yes,308
79,Female,White,Widowed,High school incomplete,Not employed for pay,"$30,000 to under $40,000",16,Yes,No,No,Purchased the book,Yes,Yes,201
78,Female,White,Widowed,High school graduate,Retired,"$20,000 to under $30,000",16,Yes,No,No,Got the book some other way,No,Yes,229
76,Female,White,Married,Post-graduate training/professional school after college,Retired,Refused,16,Yes,No,No,Borrowed the book from a library,Yes,Yes,315
67,Male,White,Single,"Some college, no 4-year degree",Retired,"$10,000 to under $20,000",16,Yes,No,No,Purchased the book,Yes,No,289
65,Male,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",16,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,309
40,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",16,No,No,Yes,Purchased the book,Yes,Yes,297
36,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,Refused,16,Yes,No,Yes,Purchased the book,Yes,Yes,297
22,Male,White,Never been married,High school incomplete,Employed full-time,"Less than $10,000",16,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,207
60,Female,Refused,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",15,Yes,No,No,Borrowed the book from a library,Yes,Yes,316
29,Female,Don’t know,Married,College graduate,Employed full-time,"$50,000 to under $75,000",15,Yes,Yes,No,Borrowed the book from a library,Yes,Yes,295
65,Female,Other,Married,High school incomplete,Employed part-time,Refused,15,Yes,No,No,Purchased the book,Yes,Yes,201
37,Female,Other,Married,Post-graduate training/professional school after college,Not employed for pay,"$100,000 to under $150,000",15,Yes,No,No,Purchased the book,Yes,Yes,299
36,Female,Other,Married,College graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,Yes,Yes,Purchased the book,Yes,No,270
62,Male,Native American/American Indian,Divorced,College graduate,Retired,"$40,000 to under $50,000",15,Yes,Yes,No,9,No,No,279
69,Male,Mixed race,Married,College graduate,Retired,"Less than $10,000",15,Yes,No,No,Purchased the book,Yes,No,288
38,Female,Mixed race,Married,College graduate,Not employed for pay,"$100,000 to under $150,000",15,Yes,No,No,Purchased the book,No,Yes,285
57,Male,Asian or Pacific Islander,Married,College graduate,Not employed for pay,"$100,000 to under $150,000",15,Yes,No,No,Purchased the book,No,Yes,292
50,Male,Asian or Pacific Islander,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,Yes,Yes,319
33,Female,Asian or Pacific Islander,Never been married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",15,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes,355
30,Female,Asian or Pacific Islander,Never been married,"Some college, no 4-year degree",Employed full-time,"9$100,000 to under $150,000",15,Yes,No,No,Got the book some other way,No,Yes,296
26,Female,Asian or Pacific Islander,Married,"Some college, no 4-year degree",Student,"$30,000 to under $40,000",15,Yes,No,Yes,Purchased the book,Yes,No,308
59,Female,Black or African-American,Don’t know,College graduate,Retired,Refused,15,Yes,No,No,Purchased the book,No,Yes,298
59,Male,Black or African-American,Married,High school graduate,Retired,"$20,000 to under $30,000",15,Yes,No,No,Borrowed the book from a friend or family member,No,Yes,238
51,Female,Black or African-American,Widowed,High school graduate,Employed part-time,"$20,000 to under $30,000",15,Yes,No,Yes,Purchased the book,Yes,Yes,226
40,Male,Black or African-American,Married,College graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,Yes,Yes,292
37,Male,Black or African-American,Living with a partner,College graduate,Employed full-time,"$75,000 to under $100,000",15,Yes,No,Yes,Purchased the book,Yes,Yes,287
32,Female,Black or African-American,Never been married,College graduate,Employed part-time,"$10,000 to under $20,000",15,Yes,No,Yes,Purchased the book,No,Yes,296
29,Female,Black or African-American,Widowed,"Some college, no 4-year degree",Not employed for pay,"$20,000 to under $30,000",15,Yes,No,No,Borrowed the book from a library,No,Yes,282
24,Female,Black or African-American,Single,College graduate,Employed full-time,"Less than $10,000",15,Yes,No,No,Borrowed the book from a library,Yes,Yes,306
81,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$20,000 to under $30,000",15,Yes,No,No,Borrowed the book from a library,Yes,Yes,289
81,Male,White,Married,College graduate,Retired,"$20,000 to under $30,000",15,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,283
78,Male,White,Divorced,Post-graduate training/professional school after college,Retired,"$30,000 to under $40,000",15,Yes,No,No,Purchased the book,No,Yes,309
78,Male,White,Widowed,"Some college, no 4-year degree",Have own business/self-employed,"$30,000 to under $40,000",15,Yes,Yes,Yes,Got the book some other way,Yes,Yes,278
77,Female,White,Never been married,High school graduate,Employed part-time,"$30,000 to under $40,000",15,Yes,No,No,Got the book some other way,Yes,Yes,229
75,Male,White,Married,High school graduate,Retired,"$10,000 to under $20,000",15,Yes,No,No,Borrowed the book from a library,Yes,Yes,227
71,Male,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",15,Yes,No,No,8,Yes,No,303
71,Male,White,Widowed,High school incomplete,Retired,"Less than $10,000",15,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,203
70,Female,White,Married,Post-graduate training/professional school after college,Retired,"$40,000 to under $50,000",15,Yes,No,Yes,Purchased the book,No,Yes,297
69,Female,White,Divorced,Post-graduate training/professional school after college,Retired,"$30,000 to under $40,000",15,Yes,No,No,Purchased the book,No,No,293
68,Female,White,Married,College graduate,Retired,"$50,000 to under $75,000",15,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes,289
68,Female,White,Divorced,"Some college, no 4-year degree",Employed full-time,Refused,15,Yes,No,No,Got the book some other way,Yes,Yes,276
68,Female,White,Widowed,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",15,No,No,Yes,Borrowed the book from a library,Yes,Yes,305
67,Female,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",15,Yes,No,No,Purchased the book,Yes,Yes,301
66,Female,White,Divorced,"Some college, no 4-year degree",Employed full-time,Refused,15,Yes,No,No,Borrowed the book from a friend or family member,No,No,282
66,Male,White,Married,"Some college, no 4-year degree",Retired,"$40,000 to under $50,000",15,Yes,No,Yes,Got the book some other way,Yes,No,295
65,Female,White,Married,College graduate,Employed part-time,"$20,000 to under $30,000",15,Yes,No,No,Purchased the book,Yes,Yes,280
65,Male,White,Married,High school graduate,Retired,"$20,000 to under $30,000",15,Yes,No,No,Purchased the book,No,Yes,239
65,Female,White,Married,Post-graduate training/professional school after college,Retired,"$75,000 to under $100,000",15,Yes,No,Yes,Purchased the book,Yes,Yes,315
65,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,Yes,No,Purchased the book,Yes,Yes,280
64,Male,White,Married,College graduate,Retired,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,Yes,No,287
64,Male,White,Divorced,High school graduate,Retired,"$20,000 to under $30,000",15,Yes,No,No,Borrowed the book from a friend or family member,No,Yes,232
63,Female,White,Married,College graduate,Disabled,"$40,000 to under $50,000",15,Yes,No,No,Purchased the book,Yes,No,292
62,Female,White,Never been married,"Some college, no 4-year degree",Retired,"$30,000 to under $40,000",15,Yes,No,No,Purchased the book,Yes,Yes,278
62,Male,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,Yes,Yes,297
61,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,No,No,Purchased the book,Yes,No,294
61,Male,White,Married,High school graduate,Employed full-time,Refused,15,Yes,No,No,Got the book some other way,Yes,Yes,228
60,Female,White,Married,College graduate,Employed full-time,"$50,000 to under $75,000",15,Yes,Yes,No,Purchased the book,No,Yes,281
60,Female,White,Married,College graduate,Employed part-time,"$100,000 to under $150,000",15,Yes,Yes,No,Purchased the book,Yes,Yes,280
59,Female,White,Divorced,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",15,Yes,Yes,Yes,Purchased the book,Yes,Yes,305
57,Female,White,Married,"Technical, trade or vocational school AFTER high school",Employed full-time,"$100,000 to under $150,000",15,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,250
56,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",15,Yes,No,Yes,Purchased the book,Yes,No,287
56,Female,White,Married,College graduate,Retired,"$100,000 to under $150,000",15,Yes,No,No,Purchased the book,Yes,Yes,289
55,Male,White,Married,High school graduate,Retired,"$10,000 to under $20,000",15,No,Yes,Yes,Got the book some other way,Yes,No,227
55,Female,White,Married,High school graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,Yes,Yes,228
54,Male,White,Never been married,College graduate,Employed full-time,"$30,000 to under $40,000",15,Yes,No,No,Purchased the book,Yes,Yes,287
54,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,No,Yes,320
54,Female,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",15,Yes,No,Yes,Purchased the book,No,Yes,280
52,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,Yes,Yes,293
51,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",15,Yes,No,Yes,Got the book some other way,No,Yes,291
51,Male,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",15,Yes,No,No,Borrowed the book from a friend or family member,Yes,No,280
50,Male,White,Living with a partner,High school graduate,Employed full-time,"$50,000 to under $75,000",15,Yes,No,No,Purchased the book,No,No,229
50,Female,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",15,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes,288
50,Male,White,Married,Post-graduate training/professional school after college,Employed part-time,"$100,000 to under $150,000",15,Yes,No,No,Purchased the book,Yes,Yes,308
50,Male,White,Married,"Some college, no 4-year degree",Have own business/self-employed,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,Yes,Yes,292
49,Male,White,Married,High school graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,No,No,Purchased the book,Yes,No,227
48,Female,White,Married,College graduate,Retired,"$75,000 to under $100,000",15,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes,287
47,Female,White,Married,College graduate,Employed full-time,"$40,000 to under $50,000",15,Yes,No,No,Got the book some other way,No,Yes,280
47,Male,White,Divorced,College graduate,Have own business/self-employed,"$30,000 to under $40,000",15,Yes,No,No,Got the book some other way,Yes,No,292
45,Female,White,Married,Post-graduate training/professional school after college,Have own business/self-employed,"$100,000 to under $150,000",15,Yes,No,No,Purchased the book,No,Yes,305
44,Male,White,Married,Post-graduate training/professional school after college,Employed full-time,Refused,15,Yes,No,No,Purchased the book,No,Yes,299
44,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,No,No,303
43,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",15,Yes,No,No,Purchased the book,Yes,Yes,288
43,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,No,No,299
42,Female,White,Married,Post-graduate training/professional school after college,Employed part-time,"$100,000 to under $150,000",15,No,Yes,Yes,Purchased the book,No,No,302
